     ,asks                                                                                                            ,bids                                                                                                                ,timestamp     ,time_received
  97 ,"[['1', '7982.7']]"                                                                                             ,"[['0.9576', '26.1'], ['0.95083', '152.7'], ['0.6', '2401.1'], ['0.32', '1562.5'], ['0.162', '308.6']]"             ,1732705217281 ,11:00:17.3182
  98 ,"[['1', '7952.2']]"                                                                                             ,"[['0.9576', '26.1'], ['0.95083', '152.7'], ['0.6', '2401.1'], ['0.162', '308.6'], ['0.153', '326.7']]"             ,1732705217604 ,11:00:17.6413
  99 ,"[['1', '7952.2']]"                                                                                             ,"[['0.992', '100.8'], ['0.9576', '26.1'], ['0.95083', '152.7'], ['0.6', '2401.1'], ['0.162', '308.6']]"             ,1732705217707 ,11:00:17.7447
 100 ,"[['1', '7952.2']]"                                                                                             ,"[['0.992', '100.8'], ['0.9576', '26.1'], ['0.95519', '100.4'], ['0.6', '2401.1'], ['0.162', '308.6']]"             ,1732705217808 ,11:00:17.8450
 101 ,"[['1', '7270.2']]"                                                                                             ,"[['0.992', '100.8'], ['0.9576', '26.1'], ['0.95519', '150.6'], ['0.6', '2401.1'], ['0.162', '308.6']]"             ,1732705217925 ,11:00:17.9616
 102 ,"[['1', '7270.2']]"                                                                                             ,"[['0.992', '100.8'], ['0.95985', '67.7'], ['0.9576', '26.1'], ['0.95519', '150.6'], ['0.6', '2401.1']]"            ,1732705218026 ,11:00:18.0630
 103 ,"[['1', '7270.2']]"                                                                                             ,"[['0.992', '100.8'], ['0.95985', '67.7'], ['0.9576', '26.1'], ['0.95519', '150.6'], ['0.6', '2401.1']]"            ,1732705218270 ,11:00:18.3073
 104 ,"[['1', '7270.2']]"                                                                                             ,"[['0.992', '100.8'], ['0.95986', '150.6'], ['0.95985', '67.7'], ['0.9576', '26.1'], ['0.6', '2401.1']]"            ,1732705218382 ,11:00:18.4194
 105 ,"[['1', '7174']]"                                                                                               ,"[['0.992', '100.8'], ['0.95986', '150.6'], ['0.95985', '67.7'], ['0.9576', '26.1'], ['0.6', '2401.1']]"            ,1732705218592 ,11:00:18.6288
 106 ,"[['1', '7027.9']]"                                                                                             ,"[['0.992', '100.8'], ['0.95986', '150.6'], ['0.95985', '67.7'], ['0.9576', '26.1'], ['0.6', '2401.1']]"            ,1732705218795 ,11:00:18.8322
